"Informazioni cronologiche","Parola da inserire :","Parole da non utilizzare per far indovinare la parola in questione"
"2023/12/14 4:11:18 PM CET","Pasquale","Pietro, chiavi, bad elf, erba, birra"
"2023/12/14 4:12:02 PM CET","Tommaso ","Ingegneria, Milano, parrucchiere, informatica, Tenerife "
"2023/12/14 4:12:42 PM CET","Lollo","Trans, lesbica, Margherita, 1, whisky 🥃 "
"2023/12/14 4:13:40 PM CET","Lorenzo ","Culo, Matilde, informatica, giochi da tavolo, pizze"
"2023/12/14 4:14:49 PM CET","Saverio","Doppiaggio, D&D, blender, film, cinema"
"2023/12/14 4:15:51 PM CET","Toso","Terzo/quarto, gay, canto, musica, karaoke"
"2023/12/14 4:16:38 PM CET","Cillian Murphy","Occhi glaciali, Oppenheimer, Peaky Blinders, cantina, Barbie"
"2023/12/14 5:07:43 PM CET","Silvio Berlusconi ","Cribbio/Cavaliere/Mafia/Comunisti/Politico"
"2023/12/14 7:16:32 PM CET","Filippo","Benzinaio, D&D, manuali, nugola, farina"
"2023/12/14 7:17:57 PM CET","Gaya","Reel disturbanti, giallo, Edoardo, Mr Peepo, psicologia"
"2023/12/14 7:18:40 PM CET","Tramontana","Scontrino, POS, confusione, pizza, Lore"
"2023/12/14 7:19:34 PM CET","Fessa","Edoardo, pirafessa, vagina, vulva, donne"
"2023/12/14 7:20:01 PM CET","Pirafessa","Campagna, Saverio, D&D, pirata/i, fessa"
"2023/12/14 7:21:50 PM CET","Jenna Ortega","Capodanno, Lollo, festa in barca, Instagram, mercoledì "
"2023/12/14 9:36:52 PM CET","Pietro Pasquale","One shot 
San Pietro 
Silvio Berlusconi
Gesù Cristo
Terra "
"2023/12/14 9:37:52 PM CET","Jenna Ortega","Lollo simp
Capodanno
Wednesday 
Addams 
Lady Gaga"
"2023/12/14 9:42:11 PM CET","KFC Espana","Metal pipe
Kentucky 
Pollo
Instagram 
Meme"
"2023/12/14 9:43:42 PM CET","Francesco Totti","Calciatore, Roma, 10, barzellette, Bello Figo"
"2023/12/14 9:51:11 PM CET","Apino","Gabriele Signorini
Brutto 
Gibbotauro Spaziale
Twitch 
Agnese "
"2023/12/14 9:52:55 PM CET","Funghetto","Ascensore 
Ubriaco 
Barbone
Silvio Berlusconi
Venezia "
"2023/12/14 9:53:26 PM CET","Le caramelle taboo","Mille
Bianco
Nero
Pubblicità 
Marco Merrino"
"2023/12/14 9:54:27 PM CET","Bidibodibidè","Cacca
Tarzanelli
Lollo
Canzone
Napoli"
"2023/12/14 9:56:30 PM CET","Dua lipa ","Due litri 
Clash Royale
Levitating
Uomini
Albania"
"2023/12/14 9:57:03 PM CET","IL kebabbaro ","Cisternone
Tribunale 
Pizza 
Migliore 
Arabia"
"2023/12/14 10:00:21 PM CET","Piombo","Lollo
Pesca
Metallo
Benzina
Vernice "
"2023/12/14 10:03:44 PM CET","Roblox","Lore
Pedofilia
Videogiochi 
Bambini
Sandbox"
"2023/12/16 4:23:16 PM CET","Piombo","Lollo, Maglietta, Metallo, Materiale, Abbigliamento"
"2023/12/16 4:27:36 PM CET","Barbaro","Classe, D&D, Forza, Ira, Muscoli  "
"2023/12/16 4:28:28 PM CET","Bardo","Classe, D&D, Strumento Musicale, Intrattenimento, Carisma "
"2023/12/16 4:30:17 PM CET","Chierico","Classe, D&D, Incantatore, Divinità, Saggezza"
"2023/12/16 4:31:03 PM CET","Druido","Classe, D&D, Animali, Natura, Incantatore"
"2023/12/16 4:38:26 PM CET","Guerriero","Classe, D&D, Combattimento, Forza, Armi"
"2023/12/16 4:39:11 PM CET","Ladro","Classe, D&D, Destrezza, Furtività, Napoli"
"2023/12/16 4:39:49 PM CET","Mago","Classe, D&D, Incantesimi, Magia, Pergamene"
"2023/12/16 4:40:23 PM CET","Monaco","Classe, D&D, Meditazione, Ki, Buddha"
"2023/12/16 4:40:50 PM CET","Paladino ","Classe, D&D, Divino, Buono, Giustizia"
"2023/12/16 4:41:43 PM CET","Warlock","Classe, D&D, Patrono, Diabolica, Carisma"
"2023/12/16 4:42:29 PM CET","Dungeon Master","Edo, Save, Campagna, Gioco di Ruolo, D&D"
"2023/12/16 4:43:21 PM CET","Maradona","Cocaina, Napoli, Calcio, Azzurro, Argentina"
"2023/12/16 4:45:34 PM CET","Zeb89","Lezzo, AceGamer, Streamer, Youtube, Inglese"
"2023/12/16 4:49:22 PM CET","Joel","Mazza da Golf, Abby, The Last Of Us, Ellie, Matilde"
"2023/12/31 5:17:55 PM CET","Lesbica","Mati, VI, Donne, Gusto"
"2023/12/31 5:19:59 PM CET","Los pinguinos de la van a mascar","Kawasaki, cago, krico, estriper "
"2023/12/31 5:19:59 PM CET","Tè","Foglie, Limone, Bevanda, Caldo, Tazza"
"2023/12/31 5:20:48 PM CET","sesso lesbo","Lesbiche, Mati, arcane, the last of us, gay"
"2023/12/31 5:21:04 PM CET","Gioco da tavolo","Carte, Pedine, Tabellone, Cena, Ludico"
"2023/12/31 5:21:19 PM CET","Animal Crossing ","Gaya, switch, fuffi, procioni, isola"
"2023/12/31 5:22:22 PM CET","Kebabbaro più buono del mondo ","Cisternone, pizza kebab, Edoardo, forno a legna, attaccapanni"
"2023/12/31 5:23:01 PM CET","Nonna Diva","Limoncello, Edoardo, nipoti, botte, vino, dolci"
"2023/12/31 5:23:49 PM CET","Tiramisù al limoncello","Limoncello, limoni, savoiardi, Gaya, mascarpone"
"2023/12/31 5:24:15 PM CET","Terra ","Edo, Tommy, Lollo, famiglia Morganti, topi"
"2023/12/31 5:24:37 PM CET","Doppiaggio","Saverio, Attore, Lavoro, Voce, Cartone animato"
"2023/12/31 5:25:54 PM CET","Catia","Trani, Ragazza, League of legend, Tommy, Billo"
"2023/12/31 5:26:00 PM CET","Nero che si è unito a noi ieri","accendini, fazzoletti, cringe, jet gum, gruppo"
"2023/12/31 5:26:29 PM CET","Taboo","A, Cosa, Stiamo, Giocando, Adesso"
"2023/12/31 5:27:23 PM CET","Matisse","Bau bau, cane, Edoardo, abbaiare, paura"
"2023/12/31 5:28:13 PM CET","Gian Andrea ","Doppiatore, YouTube, Orion, cringe, Lollo "
"2023/12/31 5:29:15 PM CET","Rising sun","4 di notte, Lorenzo, Edoardo, gioco da tavolo, giappone"
"2023/12/31 5:29:29 PM CET","Baldur's gate ","D&D, Classe, Livello, Spell, Sessione, Amici"
"2023/12/31 5:30:45 PM CET","Fratello di Save","Saverio, fratello, presepe di Gaya, giovane, Mario Sturniolo "
"2023/12/31 5:31:27 PM CET","Caraffa di Lollo","Magica, acqua, Tommaso & Lollo, toso"
"2023/12/31 5:32:42 PM CET","Cheesecake del Bad elf ","Bad elf, dolce, cioccolato, caramello, forchetta"
"2023/12/31 5:34:20 PM CET","Torri gemelle","Esplosione, arabi, 11/09, melevisione, clash Royale "
"2023/12/31 5:39:15 PM CET","Obama","Michelle, Stati Uniti, Nero, Presidente, Barack"
"2023/12/31 5:54:55 PM CET","Cannetta","Gin, Erba, 5 euro, Fumare, Stonato"
"2023/12/31 5:58:05 PM CET","Verno Fulgi","Funghi, Pazzo, Cercatore, Bosco, One-shot"
"2023/12/31 6:02:29 PM CET","Jenna Ortega ","Jenny
Capod'anno
Amica
Lollo
Invito"
"2023/12/31 6:04:06 PM CET","Inferno","Frodo, Il gobbo di Notre Dame, Quasimodo, Disney, Esmeralda"
"2023/12/31 6:05:16 PM CET","Supernova ","Chiodi
Universo
Stelle
Esplosione
Spazio
Morte"
"2023/12/31 6:06:44 PM CET","Snavajab","Gruppo, Amici, Noi, Whatsapp, Discord"
"2023/12/31 6:10:21 PM CET","Quasimodo ","Gobbo
Frollo
Francia
Notre dame
Disney
Musical"
"2023/12/31 6:14:13 PM CET","The last of us","Fissa, Fugo, Lesbiche, Gioco, Zombie"
